,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,RELI Exchange Launches the Client Referral Portal into its Proprietary InsurTech Platform,https://www.globenewswire.com/news-release/2024/01/30/2819995/0/en/RELI-Exchange-Launches-the-Client-Referral-Portal-into-its-Proprietary-InsurTech-Platform.html,20240130T133000,"['Inc.', 'Reliance Global Group']","LAKEWOOD, NJ, Jan. 30, 2024 ( GLOBE NEWSWIRE ) -- Reliance Global Group, Inc. ( Nasdaq: RELI. RELIW ) ( ""Reliance"" or the ""Company"" ) , today announced that it has added the RELI Exchange Client Referral Portal ( CRP ) into its proprietary InsurTech platform, RELI Exchange.",https://ml.globenewswire.com/Resource/Download/92baed0b-de89-4fd1-9987-e9b35719cb6b,GlobeNewswire,n/a,www.globenewswire.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.310843'}]",0.195811,Somewhat-Bullish,"[{'ticker': 'RELI', 'relevance_score': '0.589459', 'ticker_sentiment_score': '0.394333', 'ticker_sentiment_label': 'Bullish'}]"
0,Why analysts say the Fed risks clogging the financial plumbing without a policy change,https://www.marketwatch.com/story/why-analysts-say-the-fed-risks-clogging-the-financial-plumbing-without-a-policy-change-953c9385,20240130T133000,['Joy Wiltermuth'],"Federal Reserve officials are expected to hash out how to slow, then stop, the shrinking of the central bank's balance sheet to avoid financial plumbing issues.",https://images.mktw.net/im-44158948?width=700&height=566,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.744043'}]",-0.040815,Neutral,"[{'ticker': 'MS', 'relevance_score': '0.071357', 'ticker_sentiment_score': '0.093103', 'ticker_sentiment_label': 'Neutral'}]"
0,"GCM Grosvenor to Announce Fourth Quarter and Full Year 2023 Financial Results and Host Investor Conference Call on February 13, 2024",https://www.globenewswire.com/news-release/2024/01/30/2820004/0/en/GCM-Grosvenor-to-Announce-Fourth-Quarter-and-Full-Year-2023-Financial-Results-and-Host-Investor-Conference-Call-on-February-13-2024.html,20240130T133000,['GCM Grosvenor Inc.'],"CHICAGO, Jan. 30, 2024 ( GLOBE NEWSWIRE ) -- GCM Grosvenor ( Nasdaq: GCMG ) , a global alternative asset management solutions provider, announced today that it will release its results for the fourth quarter and full year 2023 on Tuesday, February 13, 2024.",https://ml.globenewswire.com/Resource/Download/21691c0b-c293-45f4-8eb5-6f9c0f1e03a8,GlobeNewswire,n/a,www.globenewswire.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",0.226202,Somewhat-Bullish,"[{'ticker': 'GCMG', 'relevance_score': '0.625937', 'ticker_sentiment_score': '0.549882', 'ticker_sentiment_label': 'Bullish'}]"
0,"1 No-Brainer Cryptocurrency to Buy Before It Soars in Value, If Morgan Stanley Is Right",https://www.fool.com/investing/2024/01/30/1-no-brainer-cryptocurrency-to-buy-before-it-soars/,20240130T133000,['Dominic Basulto'],"According to a new Morgan Stanley report, the new Bitcoin ETFs represent a potential paradigm shift.",https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F762921%2Ftrader-newspaper-wall-street-investing-business.jpg&op=resize&w=700,Motley Fool,n/a,www.fool.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.576289'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",0.206938,Somewhat-Bullish,"[{'ticker': 'MS', 'relevance_score': '0.463325', 'ticker_sentiment_score': '0.211177', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WFHG', 'relevance_score': '0.109206', 'ticker_sentiment_score': '0.135332', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.319587', 'ticker_sentiment_score': '0.135661', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.913883', 'ticker_sentiment_score': '0.357261', 'ticker_sentiment_label': 'Bullish'}]"
0,3 Magnificent Mutual Funds to Maximize Your Retirement Portfolio,https://www.zacks.com/stock/news/2217701/3-magnificent-mutual-funds-to-maximize-your-retirement-portfolio,20240130T130004,['Zacks Equity Research'],"These three top-ranked, best-performing and well-managed funds can help you maximize your retirement portfolio returns.",https://staticx-tuner.zacks.com/images/default_article_images/default312.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}]",0.364858,Bullish,"[{'ticker': 'GS', 'relevance_score': '0.104228', 'ticker_sentiment_score': '0.172658', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
0,3 Top-Performing Mutual Funds to Consider for Your Retirement Portfolio,https://www.zacks.com/stock/news/2217702/3-top-performing-mutual-funds-to-consider-for-your-retirement-portfolio,20240130T130004,['Zacks Equity Research'],"Consider adding these three top-ranked, best-performing and well-managed mutual funds to your retirement portfolio if you are looking to maximize returns.",https://staticx-tuner.zacks.com/images/default_article_images/default289.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",0.300574,Somewhat-Bullish,"[{'ticker': 'STT', 'relevance_score': '0.113062', 'ticker_sentiment_score': '0.08282', 'ticker_sentiment_label': 'Neutral'}]"
0,Mizuho Americas Invests in DirectBooks - Mizuho Financial Gr  ( NYSE:MFG ) ,https://www.benzinga.com/pressreleases/24/01/g36842237/mizuho-americas-invests-in-directbooks,20240130T130000,['Globe Newswire'],"NEW YORK, Jan. 30, 2024 ( GLOBE NEWSWIRE ) -- Mizuho Americas today announced its strategic investment in DirectBooks®, the leading primary markets communications platform. Through this investment, Mizuho will join the board of directors and work directly with other top-tier investment banks to ...",https://www.benzinga.com/next-assets/images/schema-image-default.png,Benzinga,News,www.benzinga.com,"[{'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.998356'}]",0.263847,Somewhat-Bullish,"[{'ticker': 'BCS', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.157975', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'C', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.157975', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BAC', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.157975', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WFC', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.157975', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MS', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.157975', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SPGI', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.085454', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.157975', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MFG', 'relevance_score': '0.087185', 'ticker_sentiment_score': '0.085454', 'ticker_sentiment_label': 'Neutral'}]"
0,HSBC fined US$73 million by UK watchdog for mismarked customer deposits,https://www.scmp.com/business/banking-finance/article/3250331/hsbc-fined-us73-million-uk-watchdog-prudential-regulation-authority-incorrectly-excluding-customers,20240130T125750,['Bloomberg'],HSBC Holdings was fined £57.4 million (US$73 million) by the UK for incorrectly excluding billions of pounds of its customers' money from a depositor protection programme.,https://cdn.i-scmp.com/sites/default/files/styles/768x768/public/d8/images/canvas/2024/01/30/846b40d0-7f9d-4467-8b2b-474ab043de2f_463ebc8b.jpg?itok=G-k8wG4V&v=1706619088,South China Morning Post,Companies,www.scmp.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}]",0.063154,Neutral,"[{'ticker': 'HSBC', 'relevance_score': '0.60326', 'ticker_sentiment_score': '0.221647', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
0,"Fahmi Quadir, short seller nicknamed 'The Assassin,' takes aim at for-profit college giant Adtalem",https://www.cnbc.com/2024/01/30/-adtalem-targeted-by-short-seller-fahmi-quadir-nicknamed-the-assassin.html,20240130T125000,['Eamon Javers'],"Quadir predicts that Adtalem is wasting federal tax dollars on programs that are ineffective, and that it faces several significant financial threats.",https://image.cnbcfm.com/api/v1/image/107366052-1706569668076-gettyimages-956636684-CONTEXT_LEADERSHIP_SUMMIT.jpeg?v=1706569713&w=1920&h=1080,CNBC,Top News,www.cnbc.com,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",0.0,Neutral,"[{'ticker': 'BLK', 'relevance_score': '0.03786', 'ticker_sentiment_score': '0.140438', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NFLX', 'relevance_score': '0.03786', 'ticker_sentiment_score': '0.07153', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ATGE', 'relevance_score': '0.03786', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
0,StoneX Becomes Abaxx Exchange's First Clearing and Trading Member to Expand Market Offering,https://www.globenewswire.com/news-release/2024/01/30/2819878/0/en/StoneX-Becomes-Abaxx-Exchange-s-First-Clearing-and-Trading-Member-to-Expand-Market-Offering.html,20240130T123900,['Abaxx Technologies Inc.'],StoneX will offer its clients access to Abaxx Exchange's physically deliverable commodities contracts to facilitate their energy transition needs StoneX will offer its clients access to Abaxx Exchange's physically deliverable commodities contracts to facilitate their energy transition needs ...,https://ml.globenewswire.com/Resource/Download/ba21b479-556d-4315-a710-2fb8b458438b,GlobeNewswire,n/a,www.globenewswire.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.972756'}]",0.135892,Neutral,"[{'ticker': 'SNEX', 'relevance_score': '0.610505', 'ticker_sentiment_score': '0.17063', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CURN', 'relevance_score': '0.023673', 'ticker_sentiment_score': '0.003805', 'ticker_sentiment_label': 'Neutral'}]"
